,Actual_Job_Link,Company_Name,Design_Role,Doctorate,Functional_Area,Industry,Job_Application,Job_Post,Job_Title,Job_View,Key_Skills,Location,Num_Openings,PG,Role_Category,Skill_Experience,UG,min_experience,max_experience,min_salary,max_salary,Job_Title_lower,Position_Rank,Actual_Job_Title,Company_Name_lower,Company,Doc_require,PG_require,UG_require,Location_clean,loc_Bengaluru,loc_Delhi,loc_Mumbai,loc_Hyd,loc_Pune,loc_Kol,loc_Chennai
0,https://www.naukri.com/job-listings-Data-Scientist-Perl-python-niki-ai-Bengaluru-3-to-6-years-181017900094,niki.ai,Data Analyst,Doctorate Not Required,Analytics & Business Intelligence,IT-Software  /    Software Services,10,0,Data Scientist - Perl/python,10,"Machine Learning,Python,Data Analysis,Statistical Analysis,Algorithms,Software Development,Application Software,Perl,Ruby,data ingestion ",Bengaluru,,"M.Tech - Any Specialization, MS/M.Sc(Science) - Any Specialization",Analytics & BI,"Qualifications and Skills :1. B.tech/MS or equivalent degree in a quantitative discipline.2. 3-5 years of experience in a relevant industry.3. Building and maintaining data ingestion and processing pipelines.4. Familiarity and ease in using at least one of the scripting languages - Python, Perl, Ruby etc.5. Ability to coordinate and work with multiple departments",B.Tech/B.E. - Any Specialization,3.0,6.0,,,data scientist - perl/python,mid_level,data scientist,niki.ai,niki.ai,No,Yes,Yes,Bengaluru,Bengaluru,,,,,,
1,https://www.naukri.com/job-listings-Data-Scientist-Brillio-Technologies-Pvt-Ltd-Bengaluru-2-to-5-years-161017902217,Brillio Technologies Pvt. Ltd,Research Scientist,,"Medical   ,     Healthcare   ,     R&D   ,     Pharmaceuticals   ,     Biotechnology",IT-Software  /    Software Services,14,1,Data Scientist,166,"Analytics,Data analysis,Python,Visualization,Algorithms,Text mining,Analytical techniques,big data,Business Executive,SAS SQL ",Bengaluru,,Post Graduation Not Required,R&D,,Any Graduate - Any Specialization,2.0,5.0,,,data scientist,mid_level,data scientist,brillio technologies pvt. ltd,brillio technologies pvt. ltd,Yes,No,Yes,Bengaluru,Bengaluru,,,,,,
2,https://www.naukri.com/job-listings-Senior-Data-Scientist-Data-Scientist-Knorex-India-Pune-Hadapsar-3-to-6-years-181017000490,Knorex India,System Analyst,Doctorate Not Required,IT Software - System Programming,IT-Software  /    Software Services,10,0,"Senior Data Scientist, Data Scientist,",10,"python,machine learning,r,algorithms,java,marketing,analytics,predictive modeling,advertising,statistical analysis,data management,data analysis ",Pune(Hadapsar),1.0,"M.Tech - Computers, Post Graduation Not Required",Programming & Design,Please refer to the Job description above,B.Tech/B.E. - Computers,3.0,6.0,425000.0,925000.0,"senior data scientist, data scientist,",senior,data scientist,knorex india,knorex india,No,No,Yes,Pune(Hadapsar),,,,,Pune,,
3,https://www.naukri.com/job-listings-Data-Scientist-GoPaisa-Netventures-Pvt-Ltd-New-Delhi-Jasola-3-to-5-years-161017900264,GoPaisa Netventures Pvt Ltd,Database Architect/Designer,Doctorate Not Required,"IT Software - eCommerce   ,     Internet Technologies",Internet  /    Ecommerce,10,2,Data Scientist,108,"mysql,solr,git,web technologies,performance tuning,data scientist,data Structure,design,databases,Linux,agile ","New Delhi,    Jasola",,"M.Tech - Any Specialization, MCA - Computers",Programming & Design,"Qualification	-B-Tech , MCA , M-Tech",B.Tech/B.E. - Any Specialization,3.0,5.0,,,data scientist,mid_level,data scientist,gopaisa netventures pvt ltd,gopaisa netventures pvt ltd,No,Yes,Yes,"New Delhi,    Jasola",,Delhi NCR,,,,,
4,https://www.naukri.com/job-listings-Data-Engineer-analyst-scientist-Big-Data-IDS-Infotech-Ltd-Chandigarh-2-to-4-years-181017000683,IDS Infotech Ltd.,Software Developer,,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,10,0,Data Engineer/analyst/scientist (Big Data),10,"Big Data Engineer,Big Data Developer,Big Data Consultant ",Chandigarh,1.0,"M.Tech - Computers, MCA - Computers",Programming & Design,Please refer to the Job description above,"B.Tech/B.E. - Computers, BCA - Computers",2.0,4.0,400000.0,800000.0,data engineer/analyst/scientist (big data),mid_level,data scientist,ids infotech ltd.,ids infotech ltd.,Yes,Yes,Yes,Chandigarh,,,,,,,
5,https://www.naukri.com/job-listings-Data-Scientist-Inkredo-Startup-Gurgaon-1-to-3-years-171017901438,Inkredo - Startup,Database Architect/Designer,Doctorate Not Required,"IT Software - DBA   ,     Datawarehousing",Internet  /    Ecommerce,11,1,Data Scientist,68,"software solutions,data scientist,NLP,data science model,PostgreSQL,API development,relational database,Python,Django,Design ",Gurgaon,,Any Postgraduate - Any Specialization,Programming & Design,"Experience:  Experience in NLP, network analysis, or geospatial analysis  Experience with maintaining data science models in a production environmentRequirements:  Excellent ability to prioritize & communicate in a fast-paced environment  Experience in working on backend platforms using R, Python (Django)  Strong relational database experience (PostgreSQL)  Strong familiarity with AWS (EC2, S3, RDS, ELB)  Working knowledge in API development for mobile/ web use","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization",1.0,3.0,,,data scientist,mid_level,data scientist,inkredo - startup,inkredo,No,Yes,Yes,Gurgaon,,Delhi NCR,,,,,
6,https://www.naukri.com/job-listings-Data-Scientist-SQL-Hive-Pig-xtLytics-Delhi-NCR-Noida-5-to-10-years-131017901845,xtLytics,DBA,Doctorate Not Required,"IT Software - DBA   ,     Datawarehousing",IT-Software  /    Software Services,36,5,Data Scientist - SQL/ Hive/ Pig,227,"Hive,Data Science,Machine Learning,R,SQL,Data Mining,Data Visualization,Algorithms,Data Collection,Communication Skills ","Delhi NCR,    Noida",,Any Postgraduate - Any Specialization,Admin/Maintenance/Security/Datawarehousing,"Education- A Bachelor's degree in a quantitative discipline, example Engineering, Mathematics, Statistics, etc. (Tier-1 is preference).Work Experience- A minimum of 5 Year fulltime work experience is required.Location: Noida","B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Maths, Statistics, B.A - Any Specialization, Maths, Statistics",5.0,10.0,,,data scientist - sql/ hive/ pig,mid_level,data scientist,xtlytics,xtlytics,No,Yes,Yes,"Delhi NCR,    Noida",,Delhi NCR,,,,,
7,https://www.naukri.com/job-listings-Tacit-DDC-Lead-Data-Scientist-Shell-India-Markets-Private-Limited-Bengaluru-12-to-14-years-171017901222,Shell India Markets Private Limited,Data Analyst,Ph.D,Analytics & Business Intelligence,IT-Software  /    Software Services,10,1,Tacit- DDC- Lead Data Scientist,120,"data science,data analytics,agile,machine learning,lean,execution,project management,customer satisfaction,analytical ability,R,Python,MatLab,SAS ",Bengaluru,1.0,"MBA/PGDM - Any Specialization, M.Tech - Any Specialization, Computers, MS/M.Sc(Science) - Computers, Maths, Statistics",Analytics & BI,"Requirements:	Skills & Requirements:    Bachelor or master degree in statistics, mathematics, theoretical science, operational research or computer science    MBA/ PHD in relevant domain is strongly preferred    Experience- 12+ years    Significant experience in data science delivery in a corporate environment    Must have strong technical skills and direct, hands-on experience of developing advanced analytics algorithms/models.    Skilled in analytics    Skilled in data design integrity    Skilled in value exploitation    Awareness of lifecycle and data management is desirable    Awareness of information and data strategy and governance is desirable    Commercial skills are an advantage.    Have strong interpersonal, communication, facilitation and presentation skills. Is experienced in communicating with business at all levels.                                                                                                                                                                                            Job Experience Requirements:Candidates for the position should have experience in the delivery of analytics solutions within business or industry.Position requires business knowledge of:     Hands-on code development (R, Python, MatLab, SAS).    Use of advanced analytics technology in the context of application deployment    Expertise in data source extraction (ETL) is also strongly preferable (HANA, SQL, Oracle, SharePoint, Hadoop, Spark)Job Competence Requirements:These are maximum requirements so room should be allowed for in-role development.I&D Value Exploitation: SkillI&D Strategy & Governance: SkillI&D Design Integrity:SkillI&D Lifecycle & Quality Management:KnowledgeI&D Business Analytics: Mastery.","B.Tech/B.E. - Computers, B.Sc - Computers, Maths, Statistics",12.0,14.0,,,tacit- ddc- lead data scientist,senior,data scientist,shell india markets private limited,shell india markets private limited,Yes,Yes,Yes,Bengaluru,Bengaluru,,,,,,
8,https://www.naukri.com/job-listings-Data-Scientist-R-Statistical-Modelling-IIT-NIT-Kafal-Software-Delhi-NCR-4-to-9-years-131017901840,Kafal Software,Data Analyst,Doctorate Not Required,Analytics & Business Intelligence,IT-Software  /    Software Services,29,5,Data Scientist - R/ Statistical Modelling - IIT/ NIT,248,"Data Analysis,Data Mining,R,Statistical Modeling,Machine Learning,Advanced Analytics,Excel,Business Intelligence,Hadoop,Open Source ",Delhi NCR,,Any Postgraduate - Any Specialization,Analytics & BI,IITs and NITs preferred,B.Tech/B.E. - Any Specialization,4.0,9.0,,,data scientist - r/ statistical modelling - iit/ nit,mid_level,data scientist,kafal software,kafal software,No,Yes,Yes,Delhi NCR,,Delhi NCR,,,,,
9,https://www.naukri.com/job-listings-Data-Scientist-Digital-Intelligence-COE-FedEX-Express-Transportation-Supply-ChainServices-I-Pvt-Ltd-Mumbai-2-to-7-years-060917003158,FedEX Express Transportation & Supply ChainServices (I) Pvt Ltd,Other,Doctorate Not Required,Analytics & Business Intelligence,KPO  /    Research  /    Analytics,954,0,Data Scientist -  Digital Intelligence COE,2500,"hadoop,hive,data analysis,oozie,flume,sql,sqoop,big data,cassandra,scala,spark,flink,hortonworks,map reduce,hbase,mongo db,NOSQL,Statistics,statistical modelling,Modelling,Data Scientist,Data Science ",Mumbai,,Post Graduation Not Required,Other,Please refer to the Job description above,"B.Tech/B.E. - Any Specialization, BCA - Computers, B.Sc - Computers, Electronics, Maths, Physics, Statistics",2.0,7.0,,,data scientist -  digital intelligence coe,mid_level,data scientist,fedex express transportation & supply chainservices (i) pvt ltd,fedex express transportation & supply chainservices (i) pvt ltd,No,No,Yes,Mumbai,,,Mumbai,,,,
