,Company_Name,Design_Role,Doctorate,Experience,Functional_Area,Industry,Job_Application,Job_Link,Job_Post,Job_Title,Job_View,Key_Skills,Location,Num_Openings,PG,Role_Category,Salary,SalaryI,Skill_Experience,UG,Actual_Job_Link
1,Error,,,Error,,,44,https://www.naukri.com/job-listings-Senior-Data-Scientist-Pricewaterhouse-Coopers-Private-Limited-Delhi-NCR-4-to-7-years-161017006002,Posted: 1 day ago,Error,28,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Senior-Data-Scientist-Pricewaterhouse-Coopers-Private-Limited-Delhi-NCR-4-to-7-years-161017006002
6,Error,,,Error,,,88,https://www.naukri.com/job-listings-Data-Scientist-Requirement-for-Pune-L-T-Infotech-Larsen-Toubro-Infotech-Limited-Pune-7-to-11-years-111017004506,Posted: 7 days ago,Error,81,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Data-Scientist-Requirement-for-Pune-L-T-Infotech-Larsen-Toubro-Infotech-Limited-Pune-7-to-11-years-111017004506
7,Error,,,Error,,,412,https://www.naukri.com/job-listings-Lead-Data-Scientist-Accenture-Solutions-Pvt-Ltd-Bengaluru-4-to-9-years-091017003692,Posted: 6 days ago,Error,458,Error,Error,Openings: 4,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Lead-Data-Scientist-Accenture-Solutions-Pvt-Ltd-Bengaluru-4-to-9-years-091017003692
9,Error,,,Error,,,Error,https://www.naukri.com/job-listings-Data-Scientist-Applexus-Technologies-P-Ltd-Trivandrum-1-to-5-years-061017006900,Error,Error,Error,Error,Error,Error,,,,Error,Error,,https://www.naukri.com/job-listings-Data-Scientist-Applexus-Technologies-P-Ltd-Trivandrum-1-to-5-years-061017006900
10,Error,,,Error,,,30,https://www.naukri.com/job-listings-Looking-for-a-Data-Scientist-Role-Accenture-Solutions-Pvt-Ltd-Gurgaon-12-to-16-years-121017003370,Posted: 7 days ago,Error,42,Error,Error,,,,,"INR 17,00,000 - 30,00,000 P.A.",Error,,https://www.naukri.com/job-listings-Looking-for-a-Data-Scientist-Role-Accenture-Solutions-Pvt-Ltd-Gurgaon-12-to-16-years-121017003370
14,Error,,,Error,,,95,https://www.naukri.com/job-listings-Urgent-Opening-for-DATA-Scientist-Sutherland-Bangalore-Sutherland-Global-Services-Private-Limited-Bengaluru-4-to-6-years-111017006218,Posted: 7 days ago,Error,99,Error,Error,Openings: 7,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Urgent-Opening-for-DATA-Scientist-Sutherland-Bangalore-Sutherland-Global-Services-Private-Limited-Bengaluru-4-to-6-years-111017006218
19,Error,,,Error,,,133,https://www.naukri.com/job-listings-Senior-Data-Scientist-Verint-Systems-India-Pvt-Ltd-Bengaluru-2-to-7-years-070917901451,Posted: 8 days ago,Error,220,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Senior-Data-Scientist-Verint-Systems-India-Pvt-Ltd-Bengaluru-2-to-7-years-070917901451
22,Error,,,Error,,,164,https://www.naukri.com/job-listings-Lennox-is-Hiring-Data-Scientist-Chennai-Location-Lennox-India-Technology-Centre-Private-Limited-Chennai-8-to-13-years-190717002494,Posted: 9 days ago,Error,196,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Lennox-is-Hiring-Data-Scientist-Chennai-Location-Lennox-India-Technology-Centre-Private-Limited-Chennai-8-to-13-years-190717002494
23,Error,,,Error,,,3599+,https://www.naukri.com/job-listings-Senior-Data-Scientist-ZS-ZS-ASSOCIATES-Pune-Gurgaon-4-to-9-years-120916003586,Posted: 14 days ago,Error,4303+,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Senior-Data-Scientist-ZS-ZS-ASSOCIATES-Pune-Gurgaon-4-to-9-years-120916003586
25,Error,,,Error,,,169,https://www.naukri.com/job-listings-Senior-Data-Scientist-Yodlee-Infotech-Private-Limited-Bengaluru-7-to-12-years-091017006886,Posted: 10 days ago,Error,83,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Senior-Data-Scientist-Yodlee-Infotech-Private-Limited-Bengaluru-7-to-12-years-091017006886
28,Error,,,Error,,,1024,https://www.naukri.com/job-listings-Data-Scientist-GENPACT-India-Private-Limited-Bengaluru-Noida-4-to-9-years-250717005734,Posted: 15 days ago,Error,838,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Data-Scientist-GENPACT-India-Private-Limited-Bengaluru-Noida-4-to-9-years-250717005734
31,Error,,,Error,,,Error,https://www.naukri.com/job-listings-Data-Scientist-UBS-Business-Solutions-India-Pvt-Ltd-Pune-2-to-3-years-041017900969,Error,Error,Error,Error,Error,Error,,,,Error,Error,,https://www.naukri.com/job-listings-Data-Scientist-UBS-Business-Solutions-India-Pvt-Ltd-Pune-2-to-3-years-041017900969
36,Error,,,Error,,,Less than 10,https://www.naukri.com/job-listings-Senior-Data-Scientist-Noida-Uttar-Pradesh-Optum-a-UnitedHealth-Group-Company-Noida-5-to-8-years-041017900602,Posted: 15 days ago,Error,42,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Senior-Data-Scientist-Noida-Uttar-Pradesh-Optum-a-UnitedHealth-Group-Company-Noida-5-to-8-years-041017900602
