,Job_Link,Job_Title,Company_Name,Experience,Location,SalaryI,Num_Openings,Job_Post,Job_Application,Job_View,Salary,Industry,Functional_Area,Role_Category,Design_Role,Key_Skills,Skill_Experience,UG,PG,Doctorate
0,https://www.naukri.com/job-listings-Accounts-Finance-Executive-VASK-InfoEdge-Pvt-Ltd-Bhopal-3-to-6-years-171017002445?src=jobsearchDesk&sid=15083167382195&xp=1,Accounts & Finance Executive,VASK InfoEdge Pvt. Ltd.,3 - 6 yrs,Bhopal,Not Disclosed by Recruiter,Openings: 1,Posted 1 day ago,15,107,Not Disclosed by Recruiter,IT-Software  /    Software Services,"Accounts   ,     Finance   ,     Tax   ,     Company Secretary   ,     Audit",Accounts,Accounts Executive/Accountant,"accounting,finance,banking,deposits,Hindi Typist,typing,english typing,english typewriting,bank reconcilllation ",". Monitoring data management to keep accurate product, contract, pricing and invoicing information
. English/ Hindi Typing
. Ensure overall process adheres to the Standards set by the organization
. Coordination and Submitting compliance.",Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,Doctorate Not Required
1,https://www.naukri.com/job-listings-Godrej-Security-Solutions-Sr-Exec-Asst-Mgr-B2C-Sales-Jaipur-Godrej-and-Boyce-Mfg-Co-Ltd-Jaipur-2-to-7-years-171017001605?src=jobsearchDesk&sid=15083167382195&xp=2,"Godrej Security Solutions - Sr. Exec / Asst. Mgr. - B2C Sales, Jaipur",Godrej and Boyce Mfg. Co. Ltd,2 - 7 yrs,Jaipur,Not Disclosed by Recruiter,,Posted 1 day ago,104,155,Not Disclosed by Recruiter,Consumer Electronics  /    Appliances  /    Durables,"Sales   ,     Retail   ,     Business Development",Channel Sales,Sales Executive / Officer,"B2C Sales,Dealer Management,Channel Sales,Distributor Sales,Dealer Sales,Channel Management,channel development,distribution management,Sales ",Please refer to the Job description above,"B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, B.Com - Commerce, B.A - Any Specialization, B.Arch - Architecture, B.B.A / B.M.S - Management, BCA - Computers",,
2,https://www.naukri.com/job-listings-Formulation-Development-Executive-Naprod-Life-Sciences-Private-Limited-Tarapur-5-to-7-years-170817005760?src=jobsearchDesk&sid=15083167382195&xp=4,Formulation & Development - Executive,Naprod Life Sciences Private Limited,5 - 7 yrs,Tarapur,"2,50,000 - 3,00,000 P.A.",Openings: 1,Posted 15 days ago,38,466,"INR  2,50,000 - 3,00,000 P.A.",Pharma  /    Biotech  /    Clinical Research,"Production   ,     Manufacturing   ,     Maintenance",Production/Manufacturing/Maintenance,Quality Assurance/Quality Control Executive,"Formulation Development,SVP,injectable,oncology,Stability,compilation,Regulatory Queries,Stability protocol,cGMP,documentation ","We are looking for a Male candidate with minimum 5 years of experience in Pharmaceutical industry, for Oncology Injectable plant at Boisar, who can joined within 1 months period and ready to relocate to Boisar Tarapur.Job responsibilities of suitable candidate for this position are as following:-Job Description for Executive:1. Literature Search for Development Activity.2. Execution and planning of Formulation Development Trial with all related documentation.3. Strong experience in developing solid Oral dosage form and parenteral formulation .4. Co-ordination with other Dept. like Purchase, QC/QA, RA, ADL, Production, Eng. etc. related Development Activity.5. Attending & Compilation of Stability data and Regulatory Queries.6. Ability to work independently and manage multiple projects simultaneously.7. Trouble shooting 8. Maintenance of Department Facility up gradation related activity with Engineering Dept.9. Preparation & Checking of Master Documents like PDR, MFR, TTD, Stability protocol and Report etc.10. Training of junior staff on SOP and cGMP/documentation practice in dept.11. Experience with successful technology transfer to plant with clear understanding and documentation of critical parameter.12. Preparation of weekly /monthly/Quarterly and yearly report.13. Any other work which management decide time to time basis.",B.Pharma - Pharmacy,M.Pharma - Pharmacy,
3,https://www.naukri.com/job-listings-Formulation-Development-Officer-Naprod-Life-Sciences-Private-Limited-Tarapur-1-to-2-years-170817005718?src=jobsearchDesk&sid=15083167382195&xp=5,Formulation & Development - Officer,Naprod Life Sciences Private Limited,1 - 2 yrs,Tarapur,"1,00,000 - 2,00,000 P.A.",Openings: 1,Posted 15 days ago,141,723,"INR  1,00,000 - 2,00,000 P.A.",Pharma  /    Biotech  /    Clinical Research,"Production   ,     Manufacturing   ,     Maintenance",Production/Manufacturing/Maintenance,Quality Assurance/Quality Control Executive,"Formulation Development,SVP,injectable,oncology,Stability,compilation,Regulatory Queries,Stability protocol,cGMP,documentation ","We are looking for a Male candidate with minimum 2 years of experience in Pharmaceutical industry, for Oncology Injectable plant at Boisar, who can joined within 1 months period and ready to relocate to Boisar Tarapur.Job responsibilities of suitable candidate for this position are as following:-Job Description:1. Literature Search for Development Activity.2. Execution and planning of Formulation Development Trial with all related documentation.3. Strong experience in developing solid Oral dosage form and parenteral formulation .4. Co-ordination with other Dept. like Purchase, QC/QA, RA, ADL, Production, Eng. etc. related Development Activity.5. Attending & Compilation of Stability data and Regulatory Queries.6. Ability to work independently and manage multiple projects simultaneously.7. Trouble shooting 8. Maintenance of Department Facility up gradation related activity with Engineering Dept.9. Preparation & Checking of Master Documents like PDR, MFR, TTD, Stability protocol and Report etc.10. Training of junior staff on SOP and cGMP/documentation practice in dept.11. Experience with successful technology transfer to plant with clear understanding and documentation of critical parameter.12. Preparation of weekly /monthly/Quarterly and yearly report.13. Any other work which management decide time to time basis.",B.Pharma - Pharmacy,M.Pharma - Pharmacy,
4,https://www.naukri.com/job-listings-MIS-Executive-Marion-Biotech-Private-Limited-Noida-1-to-3-years-170717005624?src=jobsearchDesk&sid=15083167382195&xp=7,MIS Executive,Marion Biotech Private Limited,1 - 3 yrs,Noida,"2,00,000 - 3,00,000 P.A.",,Posted 1 day ago,2000+,5000+,"INR  2,00,000 - 3,00,000 P.A.",Pharma  /    Biotech  /    Clinical Research,"Executive Assistant   ,     Front Office   ,     Data Entry",Other,Stenographer/Data Entry Operator,"Primary Sales,MIS Preparation,Management information system prepration,MIS reporting prepration ","*Any Graduate or Post Graduate with previous working experience in reporting and analysis responsibility.
*Good MS office skills, especially in Excel.",Any Graduate - Any Specialization,Post Graduation Not Required,
5,https://www.naukri.com/job-listings-Debt-Syndication-Junior-Executive-executive-Capital-Square-Advisors-Private-Limited-Mumbai-Suburbs-0-to-2-years-170717001455?src=jobsearchDesk&sid=15083167382195&xp=9,Debt Syndication Junior Executive/executive,Capital Square Advisors Private Limited,0 - 2 yrs,Mumbai Suburbs,Not Disclosed by Recruiter,Openings: 2,Posted 8 days ago,1500+,3500+,Not Disclosed by Recruiter,Banking  /    Financial Services  /    Broking,"Financial Services   ,     Banking   ,     Investments   ,     Insurance",Investment Banking,Corporate Advisory Manager,"Corporate Finance,Debt Syndication,Pitch Books,Due Diligence,Project Reports ","Strong analytical and numerical skills that put you at ease with financial data; Proven team player with the ability to manage a wide range of responsibilities;Results-driven and perform well under pressure and against tight deadlines.Articulate complex ideas simply and summarize them effectively; ability to communicate Effectively.superior computer skills (Word, Excel, Outlook, PowerPoint, Desk Research, etc.) Proficiency level command in English Committed to excellence in your work and maintain high professional and ethical standards",B.Com - Commerce,"CA, M.Com - Commerce, MBA/PGDM - Finance",Doctorate Not Required
6,https://www.naukri.com/job-listings-Project-Management-Executive-Puniska-Healthcare-Private-Limited-Ahmedabad-1-to-4-years-150917003762?src=jobsearchDesk&sid=15083167382195&xp=12,Project Management Executive,Puniska Healthcare Private Limited,1 - 4 yrs,Ahmedabad,"3,00,000 - 6,00,000 P.A.",Openings: 1,Posted 12 days ago,277,796,"INR  3,00,000 - 6,00,000 P.A.",Pharma  /    Biotech  /    Clinical Research,"Site Engineering   ,     Project Management",Project Management,Project Manager-Production/Manufacturing/Maintenance,"project management,graduate engineer trainee,project executive,project coordinator,Project Manager ",Please refer to the Job description above,"B.Tech/B.E. - Any Specialization, Chemical, Civil, Electrical, Mechanical, Production/Industrial",MBA/PGDM - Any Specialization,Doctorate Not Required
7,https://www.naukri.com/job-listings-Material-Store-Officer-maharastra-Kalpataru-Power-Tranmission-Limited-Bihar-5-to-10-years-150517006888?src=jobsearchDesk&sid=15083167382195&xp=13,Material/ Store Officer-maharastra,Kalpataru Power Tranmission Limited,5 - 10 yrs,Bihar,"2,25,000 - 7,25,000 P.A.",,Posted 13 days ago,3500+,10500+,"INR  2,25,000 - 7,25,000 P.A.",Construction  /    Engineering  /    Cement  /    Metals,"Site Engineering   ,     Project Management",Site Engineering,Construction-Specialty,"Store,Store Incharge,Material ",Should have experience of store incharge for atleast 5 years in Railways  projects SAP exposure in must.,"Diploma - Any Specialization, B.Tech/B.E. - Any Specialization",Any Postgraduate,
8,https://www.naukri.com/job-listings-Assistant-Executive-Executive-Senior-Executive-HR-KITEX-GARMENTS-LIMITED-Kochi-0-to-5-years-140716000629?src=jobsearchDesk&sid=15083167382195&xp=15,Assistant Executive / Executive / Senior Executive- HR,KITEX GARMENTS LIMITED,0 - 5 yrs,Kochi,Not Disclosed by Recruiter,,Posted 11 days ago,3500+,19000+,Not Disclosed by Recruiter,Textiles  /    Garments  /    Accessories,"HR   ,     Recruitment   ,     Administration   ,     IR",Other,Other,"HR EXECUTIVE,HR ASSISTANT,MULTILINGUAL ","MBA / PGDM - HR , MHRMCandidates with experience preferred .Freshers may also apply","B.A - Any Specialization, Other Specialization, B.Com - Commerce, B.B.A / B.M.S - Management",MBA/PGDM - HR/Industrial Relations,
9,https://www.naukri.com/job-listings-Sales-Operations-executive-Sales-HR-CONFIDENTIAL-Gurgaon-5-to-6-years-140417001461?src=jobsearchDesk&sid=15083167382195&xp=16,Sales Operations/executive Sales HR,CONFIDENTIAL,5 - 6 yrs,Gurgaon,Not Disclosed by Recruiter,,Posted 13 days ago,94,1500+,Not Disclosed by Recruiter,FMCG  /    Foods  /    Beverage,"HR   ,     Recruitment   ,     Administration   ,     IR",HR/ Recruitment / IR,HR Executive,"Sales HR,Sales Executive Activities,Sales Operations,Process Compliance,incentive calculation ",Must have experience in handling Sales OperationsMust have strong MS Excel skills,Any Graduate - Any Specialization,,
