,Job_Link,Job_Title,Company_Name,Experience,Location,SalaryI,Num_Openings,Job_Post,Job_Application,Job_View,Salary,Industry,Functional_Area,Role_Category,Design_Role,Key_Skills,Skill_Experience,UG,PG,Doctorate
0,https://www.naukri.com/job-listings-Business-Analyst-Eaton-Technologies-Pvt-Ltd-Pune-5-to-7-years-181017900818?src=jobsearchDesk&sid=15083904612238&xp=1,Business Analyst,Eaton Technologies Pvt. Ltd.,5 - 7 yrs,Pune,Not Disclosed by Recruiter,,Posted 1 day ago,Less than 10,49,Not Disclosed by Recruiter,Oil and Gas  /    Energy  /    Power  /    Infrastructure,Analytics & Business Intelligence,Analytics & BI,Business Analyst,"Distributor Sales,Channel Marketing,Business Development,Distribution,Data Analytics,Data Analysis,Program Management,Business Analysis,System Design,Data Validation,Business Analyst,MS - Access,Tableau,SQL ","3-4 year bachelors degree from an accredited school    5-7 years of relevant experience    Strong Knowledge of Advanced Data Analytics platforms such as MS-Access, Tableau, SQL, etc.    Prior incentive calculation / processing experience    Excellent interpersonal skills related to collaboration and professional presence    Strong computer skills with familiarity and expertise with Microsoft Word, Excel, & PowerPoint    Strong verbal and written communication skills including the ability to make presentations to groups of various sizes and levels of authority within the organization.",Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,Doctorate Not Required
1,https://www.naukri.com/job-listings-Business-Systems-Analysis-Analyst-Fiserv-India-Pvt-Ltd-Noida-2-to-7-years-181017900562?src=jobsearchDesk&sid=15083904612238&xp=4,"Business Systems Analysis, Analyst",Fiserv India Pvt Ltd,2 - 7 yrs,Noida,Not Disclosed by Recruiter,,Posted 1 day ago,Less than 10,90,Not Disclosed by Recruiter,Banking  /    Financial Services  /    Broking,"IT Software - Application Programming   ,     Maintenance",System Design/Implementation/ERP/CRM,Business Analyst,"Product management,Analytical,Operations,Core banking,Gap analysis,Written communication,Banking,Solution design,Senior Analyst,Management ",,"B.Tech/B.E. - Computers, BCA - Computers, B.Sc - Computers","M.Tech - Computers, MCA - Computers",
2,https://www.naukri.com/job-listings-Business-Analyst-Iit-nit-bits-Swiggy-Bengaluru-1-to-3-years-161017902492?src=jobsearchDesk&sid=15083904612238&xp=6,Business Analyst - Iit/nit/bits,Swiggy,1 - 3 yrs,Bengaluru,Not Disclosed by Recruiter,,Posted 1 day ago,384,915,Not Disclosed by Recruiter,IT-Software  /    Software Services,Analytics & Business Intelligence,Analytics & BI,Business Analyst,"Business Analysis,Google Analytics,Business Intelligence,Excel,QlikView,R,SAS ","BASIC QUALIFICATIONS : - Bachelor's degree in Engineering from premier institutes preferred - R, SAS, Qlikview, Google Analytics, MixPanel (GOOD TO HAVE) - Excel, MySQL (MUST) - Experience with RDBMS & Business Intelligence is needed",B.Tech/B.E. - Any Specialization,MBA/PGDM - Any Specialization,Doctorate Not Required
3,https://www.naukri.com/job-listings-CHT-Business-Analyst-Shell-India-Markets-Private-Limited-Chennai-5-to-8-years-171017900143?src=jobsearchDesk&sid=15083904612238&xp=7,CHT Business Analyst,Shell India Markets Private Limited,5 - 8 yrs,Chennai,Not Disclosed by Recruiter,Openings: 2,Posted 1 day ago,Less than 10,136,Not Disclosed by Recruiter,Chemicals  /    PetroChemical  /    Plastic  /    Rubber,Analytics & Business Intelligence,Analytics & BI,Business Analyst,"Accounting,Finance,Business Planning,Stakeholder Management,Enterprise Reporting,Change Management,Financial Management,Business Analysis,Senior Level,Quality Improvement ","The role requires an individual with strong customer focus and CI process mindset. This role has a broad remit to respond to services and development requests from business partners and requires strong interpersonal skills with both internal and external parties.Graduate and Professional Qualification (ACCA/CIMA/CA) Accountant with 5 to 8 years of post-qualification experience or can demonstrate qualification through experience. Experience of ERP systems (SERP, GSAP, Blue Print, Cognos, etc.)Microsoft Excel and business intelligence tools are a must. Experience of working in a virtual environment is required. Strong communication skills and ability to influence and motivate others. Self-starter and ability to manage diverse cultural/ethnic sensitivities. Project management experience Ability to deal effectively with complexity and details. Ability to prioritize and ensure delivery. Eye for detail and strong team player. Experienced in Planning and analysis Experience in Team handling Project management experience knowledge of Lean/Six Sigma methodology desirable.",Any Graduate - Any Specialization,CA,Doctorate Not Required
4,https://www.naukri.com/job-listings-Business-Analyst-Medicare-Advantage-US-Health-Insurance-Guru-Gowri-Krupa-Technologies-Private-Limited-Hyderabad-Uppal-3-to-8-years-260917002986?src=jobsearchDesk&sid=15083904612238&xp=9,Business Analyst- Medicare Advantage( US Health Insurance),Guru Gowri Krupa Technologies Private Limited,3 - 8 yrs,Hyderabad(Uppal),Not Disclosed by Recruiter,,Posted Today,939,4000+,Not Disclosed by Recruiter,IT-Software  /    Software Services,Other,Other,"Permanent Job, Full Time","medicare,enrollment,health insurance,us healthcare ",Please refer to the Job description above,B.Tech/B.E. - Any Specialization,"M.Tech - Any Specialization, MBA/PGDM - Any Specialization",
5,https://www.naukri.com/job-listings-Business-Analyst-Ecommerce-Solutions-Company-Ahmedabad-China-Adecco-India-Private-Limited-Ahmedabad-5-to-10-years-210717006105?src=jobsearchDesk&sid=15083904612238&xp=11,Business Analyst - Ecommerce Solutions Company - Ahmedabad / China,Adecco India Private Limited  hiring for Reputed Ecommerce Solutions Company.,5 - 10 yrs,Ahmedabad,Not Disclosed by Recruiter,,Posted 1 day ago,Less than 10,581,Not Disclosed by Recruiter,Internet  /    Ecommerce,"IT Software - Application Programming   ,     Maintenance",System Design/Implementation/ERP/CRM,Business Analyst,"Business Analysis,web design,documentation,requirements,BR documentation ",,Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,Doctorate Not Required
6,https://www.naukri.com/job-listings-Business-Analyst-Salesforce-Premium-Hyderabad-5-to-10-years-181017900288?src=jobsearchDesk&sid=15083904612238&xp=12,Business Analyst - Salesforce,Premium,5 - 10 yrs,Hyderabad,Not Disclosed by Recruiter,,Posted 1 day ago,18,105,Not Disclosed by Recruiter,IT-Software  /    Software Services,Analytics & Business Intelligence,Analytics & BI,Business Analyst,"Business Process,Life Cycle,Software Development,Business System,Information Technology,Business Analysis,Data Conversion ",Requirements : - 5 + years of relevant BSA work experience - Strong understanding of the Software Development Life Cycle (SDLC) - Knowledge and understanding of industry standard/best practices requirements gathering methodologies - Knowledge and understanding of Information Technology systems and software development - Good understanding of salesforce platform - Experience in data conversion and migration project,Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,Doctorate Not Required
7,https://www.naukri.com/job-listings-Senior-Business-Analyst-MSCI-Mumbai-7-to-12-years-181017900570?src=jobsearchDesk&sid=15083904612238&xp=13,Senior Business Analyst,MSCI,7 - 12 yrs,Mumbai,Not Disclosed by Recruiter,,Posted 1 day ago,Less than 10,53,Not Disclosed by Recruiter,Accounting  /    Finance,IT Software - Other,System Design/Implementation/ERP/CRM,Business Analyst,"Financial services,Recruitment,Service,Analytics,Real estate,Asset management,Project management,Business analysis,Business process,Operations ",,"B.Tech/B.E. - Computers, BCA - Computers, B.Sc - Computers","M.Tech - Computers, MCA - Computers",
8,https://www.naukri.com/job-listings-Senior-Business-Analyst-only-for-Stock-Advisory-Experienced-Candidates-Epic-Research-Pvt-Ltd-Indore-2-to-3-years-260315000447?src=jobsearchDesk&sid=15083904612238&xp=14,Senior Business Analyst(only for Stock Advisory Experienced Candidates,Epic Research Pvt. Ltd.,2 - 3 yrs,Indore,"2,00,000 - 4,00,000 P.A.",Openings: 4,Posted 1 day ago,308,4500+,"INR  2,00,000 - 4,00,000 P.A. Incentives, Yearly Performance Allowance, Referral Allowance etc",Banking  /    Financial Services  /    Broking,"Sales   ,     Retail   ,     Business Development",Channel Sales,Sales Executive / Officer,"Sales & Marketing,Equity Sales,Share Trading,Corporate Sales,Lead Generation,Client Handling,sales,team handling,team leader,Stock advisory,equity advisory,financial research ","1. Excellent at Client handling & servicing.
2. Good communication & presentation skills are must.
3. Presentation skills & working exposure of MS excel and other MS office applications.
4. Team handling and result oriented.",Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,Doctorate Not Required
9,https://www.naukri.com/job-listings-Immediate-Opening-for-Business-Analyst-Enquero-Bangalore-Enquero-Global-Llp-Bengaluru-3rd-Block-Koramangala-2-to-5-years-181017001177?src=jobsearchDesk&sid=15083904612238&xp=15,"Immediate Opening for Business Analyst @ Enquero , Bangalore","Enquero Global Llp  hiring for Enquero , Bangalore",2 - 5 yrs,Bengaluru(3rd Block Koramangala),Not Disclosed by Recruiter,Openings: 2,Posted 1 day ago,42,138,Not Disclosed by Recruiter,IT-Software  /    Software Services,Analytics & Business Intelligence,Analytics & BI,Business Analyst,"rtm,business analysis,time management,requirement authoring,Tableau,rally,Microsoft Excel ","-Basic understanding or exp in working on UI's or dashboards 
-Work closely with technical team members to review technical designs & provide guidance to ensure designs support business requirements 
-Lead reqs gathering and scope definition sessions",Any Graduate - Any Specialization,Any Postgraduate - Any Specialization,Doctorate Not Required
