,Job_Link,Job_Title,Company_Name,Experience,Location,SalaryI,Num_Openings,Job_Post,Job_Application,Job_View,Salary,Industry,Functional_Area,Role_Category,Design_Role,Key_Skills,Skill_Experience,UG,PG,Doctorate
0,https://www.naukri.com/job-listings-Data-Analyst-for-MoRD-Project-of-NISG-2-yrs-Contract-NISG-National-Institute-of-Smart-Government-Delhi-NCR-2-to-7-years-181017002032?src=jobsearchDesk&sid=15083239735865&xp=3,Data Analyst for MoRD Project of NISG (2 yrs Contract),NISG ( National Institute of Smart Government),2 - 7 yrs,Delhi NCR,"10,00,000 - 12,00,000 P.A.",,Posted Just Now,Less than 10,11,"INR  10,00,000 - 12,00,000 P.A.",IT-Software  /    Software Services,"IT Software - Application Programming   ,     Maintenance",Admin/Maintenance/Security/Datawarehousing,DBA,"data analysis,data mining,data analytics ",Please refer to the Job description above,"B.Tech/B.E. - Any Specialization, B.Sc - Any Specialization, Statistics, B.A - Any Specialization, Economics, Statistics","MBA/PGDM - Any Specialization, MS/M.Sc(Science) - Any Specialization, Statistics",Doctorate Not Required
1,https://www.naukri.com/job-listings-BI-Analytics-Data-Analyst-Tech-Mahindra-Business-Services-Limited-Mumbai-2-to-5-years-171017901596?src=jobsearchDesk&sid=15083239735865&xp=4,BI & Analytics - Data Analyst,Tech Mahindra Business Services Limited,2 - 5 yrs,Mumbai,Not Disclosed by Recruiter,,Posted 1 day ago,10,142,Not Disclosed by Recruiter,BPO  /    Call Centre  /    ITES,Analytics & Business Intelligence,Analytics & BI,Data Analyst,"SQL,Data Modeling,Data Analysis,Data Mining,R,Analytics,Bi,Database Management ",,Any Graduate - Any Specialization,,Doctorate Not Required
2,https://www.naukri.com/job-listings-BI-Analytics-Data-Analyst-Tech-Mahindra-Business-Services-Limited-Mumbai-2-to-4-years-171017900625?src=jobsearchDesk&sid=15083239735865&xp=5,BI & Analytics - Data Analyst,Tech Mahindra Business Services Limited,2 - 4 yrs,Mumbai,Not Disclosed by Recruiter,,Posted 1 day ago,10,190,Not Disclosed by Recruiter,IT-Software  /    Software Services,"IT Software - DBA   ,     Datawarehousing",Programming & Design,Database Architect/Designer,"SQL,Analytics,Data mining,BPO,Data modeling,Database management,R Programming,Data Analyst ",,Any Graduate - Any Specialization,Post Graduation Not Required,
3,https://www.naukri.com/job-listings-Senior-Data-Analyst-Wells-Fargo-India-Solutions-Pvt-Ltd-Bengaluru-1-to-5-years-171017900823?src=jobsearchDesk&sid=15083239735865&xp=6,Senior Data Analyst,Wells Fargo India Solutions Pvt. Ltd.,1 - 5 yrs,Bengaluru,Not Disclosed by Recruiter,,Posted 1 day ago,30,277,Not Disclosed by Recruiter,Banking  /    Financial Services  /    Broking,IT Software - Other,Programming & Design,Software Developer,"Teradata,Unix shell scripting,Financial services,Analytical,SDLC Life cycle,Senior Data Analyst,Secondary skills,Interpersonal skills,Ab Initio,Database ","Primary Skill  Datawarehousing - Ab Initio Secondary Skill Unix Other Skills (Not Part of Standard Primary/ Secondary Skills) Unix Shell Scripting,  Teradata,  Autosys Domain Knowledge Banking,  Financial Service",Any Graduate - Any Specialization,Post Graduation Not Required,
4,https://www.naukri.com/job-listings-Data-Analytics-Reporting-Analyst-Knorex-India-Pune-1-to-4-years-181017000175?src=jobsearchDesk&sid=15083239735865&xp=7,"Data Analytics, Reporting Analyst,",Knorex India,1 - 4 yrs,Pune,"2,50,000 - 3,50,000 P.A.",Openings: 1,Posted Today,13,71,"INR  2,50,000 - 3,50,000 P.A.",IT-Software  /    Software Services,Analytics & Business Intelligence,Analytics & BI,Data Analyst,"MS office,microsoft office,power point,ms excel,business intelligence,analytics,data mining,data analytics,data market research,data market research analyst,pivot table,analysis ",Please refer to the Job description above,"B.Tech/B.E. - Any Specialization, Computers, Any Graduate - Any Specialization","M.Tech - Any Specialization, Computers",
5,https://www.naukri.com/job-listings-Manager-Data-Goevrnance-analyst-JLL-Bengaluru-3-to-5-years-161017902091?src=jobsearchDesk&sid=15083239735865&xp=8,Manager Data Goevrnance &analyst,JLL,3 - 5 yrs,Bengaluru,Not Disclosed by Recruiter,,Posted 1 day ago,Less than 10,88,Not Disclosed by Recruiter,Real Estate  /    Property,"ITES   ,     BPO   ,     KPO   ,     LPO   ,     Customer Service   ,     Operations",Operations,Business/EDP Analyst,"Steward,Tools,Analytical,Business strategy,Customer Relation Executive,Business operations,Data analysis,Email,Data management,commercial real estate ",,Any Graduate - Any Specialization,Post Graduation Not Required,
6,https://www.naukri.com/job-listings-Enterprising-Data-Analyst-Engineer-Big-Data-IDS-Infotech-Ltd-Chandigarh-2-to-4-years-181017000683?src=jobsearchDesk&sid=15083239735865&xp=12,Enterprising Data Analyst/ Engineer (Big Data),IDS Infotech Ltd.,2 - 4 yrs,Chandigarh,"4,00,000 - 8,00,000 P.A.",Openings: 1,Posted Few Hours Ago,Less than 10,47,"INR  4,00,000 - 8,00,000 P.A.",IT-Software  /    Software Services,"IT Software - Application Programming   ,     Maintenance",Programming & Design,Software Developer,"Big Data Engineer,Big Data Developer,Big Data Consultant ",Please refer to the Job description above,"B.Tech/B.E. - Computers, BCA - Computers","M.Tech - Computers, MCA - Computers",
7,https://www.naukri.com/job-listings-Data-Analyst-Global-Advertisement-Services-Private-Limited-Pune-0-to-1-years-171017002878?src=jobsearchDesk&sid=15083239735865&xp=13,Data Analyst,Global Advertisement Services Private Limited,0 - 1 yrs,Pune,Not Disclosed by Recruiter,,Posted 1 day ago,30,181,Not Disclosed by Recruiter,Media  /    Entertainment  /    Internet,"Design   ,     Creative   ,     User Experience",Other,Fresher,"Data Analysis,Typing Speed ",Please refer to the Job description above,Any Graduate - Any Specialization,,
8,https://www.naukri.com/job-listings-Senior-Data-Analyst-Adecco-India-Private-Limited-India-3-to-5-years-140617900688?src=jobsearchDesk&sid=15083239735865&xp=14,Senior Data Analyst,Adecco India Private Limited,3 - 5 yrs,India,Not Disclosed by Recruiter,,Posted 1 day ago,Less than 10,319,Not Disclosed by Recruiter,Recruitment  /    Staffing,Analytics & Business Intelligence,Analytics & BI,Data Analyst,"Data Analyst,Data Analysis,SAS,SQL ",,Any Graduate - Any Specialization,,
9,https://www.naukri.com/job-listings-Corporate-Acct-Reference-Data-Analyst-JPMorgan-Chase-Mumbai-4-to-5-years-210817904433?src=jobsearchDesk&sid=15083239735865&xp=22,Corporate - Acct & Reference Data Analyst,JPMorgan Chase,4 - 5 yrs,Mumbai,Not Disclosed by Recruiter,,Posted 2 days ago,23,464,Not Disclosed by Recruiter,Banking  /    Financial Services  /    Broking,"ITES   ,     BPO   ,     KPO   ,     LPO   ,     Customer Service   ,     Operations",Operations,Operations Manager,"Financial services,Monitoring,Fixed income,Bloomberg,Business continuity,Data quality,Support,Business Executive,English Communication Skills,Quality initiatives ",,Any Graduate - Any Specialization,Post Graduation Not Required,
