,Company_Name,Design_Role,Experience,Functional_Area,Industry,Job_Application,Job_Link,Job_Post,Job_Title,Job_View,Key_Skills,Location,Num_Openings,Role_Category,Salary,SalaryI,Skill_Experience
0,Wissen Infotech Pvt. Ltd.,"Permanent Job, Full Time",5 - 8 yrs,Other,IT-Software  /    Software Services,56,https://www.naukri.com/job-listings-AI-Scientist-Wissen-Infotech-Pvt-Ltd-Bengaluru-Marathahalli-5-to-8-years-111017002270?src=nfl&sid=150824249339&xp=1,Posted 6 days ago,AI Scientist,498,Data Scientist ,Bengaluru(Marathahalli),,Other,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above
1,Shell India Markets Private Limited,Data Analyst,12 - 14 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Tacit-DDC-Lead-Data-Scientist-Shell-India-Markets-Private-Limited-Bengaluru-12-to-14-years-171017901222?src=jobsearchDesk&sid=150824249339&xp=2,Posted Just Now,Tacit- DDC- Lead Data Scientist,Less than 10,"data science,data analytics,agile,machine learning,lean,execution,project management,customer satisfaction,analytical ability,R,Python,MatLab,SAS ",Bengaluru,Openings: 1,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Requirements:	Skills & Requirements:    Bachelor or master degree in statistics, mathematics, theoretical science, operational research or computer science    MBA/ PHD in relevant domain is strongly preferred    Experience- 12+ years    Significant experience in data science delivery in a corporate environment    Must have strong technical skills and direct, hands-on experience of developing advanced analytics algorithms/models.    Skilled in analytics    Skilled in data design integrity    Skilled in value exploitation    Awareness of lifecycle and data management is desirable    Awareness of information and data strategy and governance is desirable    Commercial skills are an advantage.    Have strong interpersonal, communication, facilitation and presentation skills. Is experienced in communicating with business at all levels.                                                                                                                                                                                            Job Experience Requirements:Candidates for the position should have experience in the delivery of analytics solutions within business or industry.Position requires business knowledge of:     Hands-on code development (R, Python, MatLab, SAS).    Use of advanced analytics technology in the context of application deployment    Expertise in data source extraction (ETL) is also strongly preferable (HANA, SQL, Oracle, SharePoint, Hadoop, Spark)Job Competence Requirements:These are maximum requirements so room should be allowed for in-role development.I&D Value Exploitation: SkillI&D Strategy & Governance: SkillI&D Design Integrity:SkillI&D Lifecycle & Quality Management:KnowledgeI&D Business Analytics: Mastery."
2,Brillio Technologies Pvt. Ltd,Research Scientist,2 - 5 yrs,"Medical   ,     Healthcare   ,     R&D   ,     Pharmaceuticals   ,     Biotechnology",IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Data-Scientist-Brillio-Technologies-Pvt-Ltd-Bengaluru-2-to-5-years-161017902217?src=jobsearchDesk&sid=150824249339&xp=3,Posted Few Hours Ago,Data Scientist,37,"Analytics,Data analysis,Python,Visualization,Algorithms,Text mining,Analytical techniques,big data,Business Executive,SAS SQL ",Bengaluru,,R&D,Not Disclosed by Recruiter,Not Disclosed by Recruiter,
3,Adecco India Private Limited,Data Analyst,3 - 5 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,711,https://www.naukri.com/job-listings-Data-Scientist-Adecco-India-Private-Limited-Pune-3-to-5-years-310717006501?src=jobsearchDesk&sid=150824249339&xp=4,Posted Few Hours Ago,Data Scientist,1154,"SAS SQL,R,Python,Excel,Analytics,Data Manipulation,Verbal Communication,Solution Design ",Pune,,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,
4,GoPaisa Netventures Pvt Ltd,Database Architect/Designer,3 - 5 yrs,"IT Software - eCommerce   ,     Internet Technologies",Internet  /    Ecommerce,Less than 10,https://www.naukri.com/job-listings-Data-Scientist-GoPaisa-Netventures-Pvt-Ltd-New-Delhi-Jasola-3-to-5-years-161017900264?src=jobsearchDesk&sid=150824249339&xp=5,Posted 1 day ago,Data Scientist,97,"mysql,solr,git,web technologies,performance tuning,data scientist,data Structure,design,databases,Linux,agile ","New Delhi,    Jasola",,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Qualification	-B-Tech , MCA , M-Tech"
5,Adecco India Private Limited,Data Analyst,3 - 8 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,433,https://www.naukri.com/job-listings-Urgent-Opening-for-Data-Scientist-sas-Mumbai-Adecco-India-Private-Limited-Mumbai-3-to-8-years-090817020498?src=jobsearchDesk&sid=150824249339&xp=6,Posted Few Hours Ago,Job | Urgent Job Opening for Data Scientist (sas) - Mumbai,934,"Statistical Simulation,Regression Modeling,predictive modelling,statistical simulation,regression analytics,predictive analytics,regression modelling,data science,statistics modelling,strategic planning ",Mumbai,,Analytics & BI,"INR  5,00,000 - 15,00,000 P.A.","5,00,000 - 15,00,000 P.A.",Please refer to the Job description above
6,Pykih Data Intelligence Private Limited,Software Developer,5 - 10 yrs,IT Software - Other,IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Sr-Data-Scientist-Pykih-Data-Intelligence-Private-Limited-Ahmedabad-5-to-10-years-161017005627?src=jobsearchDesk&sid=150824249339&xp=8,Posted 1 day ago,Sr. Data Scientist,166,"Senior Data Scientist,Data Scientist ",Ahmedabad,Openings: 1,Programming & Design,"INR  8,00,000 - 14,00,000 P.A.","8,00,000 - 14,00,000 P.A.",Please refer to the Job description above
7,xtLytics,DBA,5 - 10 yrs,"IT Software - DBA   ,     Datawarehousing",IT-Software  /    Software Services,33,https://www.naukri.com/job-listings-Data-Scientist-SQL-Hive-Pig-xtLytics-Delhi-NCR-Noida-5-to-10-years-131017901845?src=jobsearchDesk&sid=150824249339&xp=9,Posted 4 days ago,Data Scientist - SQL/ Hive/ Pig,206,"Hive,Data Science,Machine Learning,R,SQL,Data Mining,Data Visualization,Algorithms,Data Collection,Communication Skills ","Delhi NCR,    Noida",,Admin/Maintenance/Security/Datawarehousing,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Education- A Bachelor's degree in a quantitative discipline, example Engineering, Mathematics, Statistics, etc. (Tier-1 is preference).Work Experience- A minimum of 5 Year fulltime work experience is required.Location: Noida"
8,Premium,Data Analyst,5 - 9 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Data-Scientist-It-internet-online-Premium-Delhi-NCR-Gurgaon-5-to-9-years-161017902522?src=jobsearchDesk&sid=150824249339&xp=10,Posted 1 day ago,Data Scientist - It/internet/online,143,"Hive,HBase,NoSQL,Pig,Cassandra,Big Data,SQL,Machine Learning,Data Science,MongoDB ","Delhi NCR,    Gurgaon",,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Reporting To - Department Head Qualification - B.Tech or M.Tech Local candidates from NCR region will be preferred. Prior Work Experience : - Should have 5 to 9 yrs of experience - Should have minimum 3 years of experience as a Data Scientist
9,Kafal Software,Data Analyst,4 - 9 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,28,https://www.naukri.com/job-listings-Data-Scientist-R-Statistical-Modelling-IIT-NIT-Kafal-Software-Delhi-NCR-4-to-9-years-131017901840?src=jobsearchDesk&sid=150824249339&xp=11,Posted 4 days ago,Data Scientist - R/ Statistical Modelling - IIT/ NIT,227,"Data Analysis,Data Mining,R,Statistical Modeling,Machine Learning,Advanced Analytics,Excel,Business Intelligence,Hadoop,Open Source ",Delhi NCR,,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,IITs and NITs preferred
