,Company_Name,Design_Role,Doctorate,Experience,Functional_Area,Industry,Job_Application,Job_Link,Job_Post,Job_Title,Job_View,Key_Skills,Location,Num_Openings,PG,Role_Category,Salary,SalaryI,Skill_Experience,UG,Actual_Job_Link
0,Wissen Infotech Pvt. Ltd.,"Permanent Job, Full Time",,5 - 8 yrs,Other,IT-Software  /    Software Services,64,https://www.naukri.com/job-listings-AI-Scientist-Wissen-Infotech-Pvt-Ltd-Bengaluru-Marathahalli-5-to-8-years-111017002270,Posted 8 days ago,AI Scientist,583,Data Scientist ,Bengaluru(Marathahalli),,,Other,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,,https://www.naukri.com/job-listings-AI-Scientist-Wissen-Infotech-Pvt-Ltd-Bengaluru-Marathahalli-5-to-8-years-111017002270
1,Error,,,Error,,,44,https://www.naukri.com/job-listings-Senior-Data-Scientist-Pricewaterhouse-Coopers-Private-Limited-Delhi-NCR-4-to-7-years-161017006002,Posted: 1 day ago,Error,28,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Senior-Data-Scientist-Pricewaterhouse-Coopers-Private-Limited-Delhi-NCR-4-to-7-years-161017006002
2,Red Hat India Pvt Ltd,Data Analyst,,7 - 12 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Business-Data-Scientist-Redhat-pune-Red-Hat-India-Pvt-Ltd-Pune-7-to-12-years-171017005438,Posted 2 days ago,Business Data Scientist _ Redhat_pune,192,"sql queries,amazon aws,redshift,data modeling,data mining ",Pune,,,Analytics & BI,"INR  8,00,000 - 13,00,000 P.A.","8,00,000 - 13,00,000 P.A.",Please refer to the Job description above,,https://www.naukri.com/job-listings-Business-Data-Scientist-Redhat-pune-Red-Hat-India-Pvt-Ltd-Pune-7-to-12-years-171017005438
3,Adecco India Private Limited,Data Analyst,,3 - 5 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,742,https://www.naukri.com/job-listings-Data-Scientist-Adecco-India-Private-Limited-Pune-3-to-5-years-310717006501,Posted 2 days ago,Data Scientist,1320,"SAS SQL,R,Python,Excel,Analytics,Data Manipulation,Verbal Communication,Solution Design ",Pune,,,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,,,https://www.naukri.com/job-listings-Data-Scientist-Adecco-India-Private-Limited-Pune-3-to-5-years-310717006501
4,Adecco India Private Limited,Data Analyst,,3 - 8 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,454,https://www.naukri.com/job-listings-Urgent-Opening-for-Data-Scientist-sas-Mumbai-Adecco-India-Private-Limited-Mumbai-3-to-8-years-090817020498,Posted 2 days ago,Job | Urgent Job Opening for Data Scientist (sas) - Mumbai,1093,"Statistical Simulation,Regression Modeling,predictive modelling,statistical simulation,regression analytics,predictive analytics,regression modelling,data science,statistics modelling,strategic planning ",Mumbai,,,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,,,https://www.naukri.com/job-listings-Urgent-Opening-for-Data-Scientist-sas-Mumbai-Adecco-India-Private-Limited-Mumbai-3-to-8-years-090817020498
5,Pykih Data Intelligence Private Limited,Software Developer,,5 - 10 yrs,IT Software - Other,IT-Software  /    Software Services,Less than 10,https://www.naukri.com/job-listings-Sr-Data-Scientist-Pykih-Data-Intelligence-Private-Limited-Ahmedabad-5-to-10-years-161017005627,Posted 3 days ago,Sr. Data Scientist,228,"Senior Data Scientist,Data Scientist ",Ahmedabad,Openings: 1,,Programming & Design,"INR  8,00,000 - 14,00,000 P.A.","8,00,000 - 14,00,000 P.A.",Please refer to the Job description above,,https://www.naukri.com/job-listings-Sr-Data-Scientist-Pykih-Data-Intelligence-Private-Limited-Ahmedabad-5-to-10-years-161017005627
6,Error,,,Error,,,88,https://www.naukri.com/job-listings-Data-Scientist-Requirement-for-Pune-L-T-Infotech-Larsen-Toubro-Infotech-Limited-Pune-7-to-11-years-111017004506,Posted: 7 days ago,Error,81,Error,Error,,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Data-Scientist-Requirement-for-Pune-L-T-Infotech-Larsen-Toubro-Infotech-Limited-Pune-7-to-11-years-111017004506
7,Error,,,Error,,,412,https://www.naukri.com/job-listings-Lead-Data-Scientist-Accenture-Solutions-Pvt-Ltd-Bengaluru-4-to-9-years-091017003692,Posted: 6 days ago,Error,458,Error,Error,Openings: 4,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Lead-Data-Scientist-Accenture-Solutions-Pvt-Ltd-Bengaluru-4-to-9-years-091017003692
8,UNIFY TECHNOLOGIES PVT LTD,Software Developer,,2 - 6 yrs,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,773,https://www.naukri.com/job-listings-Unify-Urgent-Requirement-Data-Scientist-Gurugram-UNIFY-TECHNOLOGIES-PVT-LTD-Gurgaon-2-to-6-years-070817000721,Posted 6 days ago,Unify Urgent Requirement Data Scientist Gurugram,1500+,"Hive,Hadoop,Sqoop,Flume,Oozie,Pig,HBase,Spark,SCALA,Big Data ",Gurgaon,,,Programming & Design,"INR  4,00,000 - 9,00,000 P.A.","4,00,000 - 9,00,000 P.A.",Please refer to the Job description above,,https://www.naukri.com/job-listings-Unify-Urgent-Requirement-Data-Scientist-Gurugram-UNIFY-TECHNOLOGIES-PVT-LTD-Gurgaon-2-to-6-years-070817000721
9,Error,,,Error,,,Error,https://www.naukri.com/job-listings-Data-Scientist-Applexus-Technologies-P-Ltd-Trivandrum-1-to-5-years-061017006900,Error,Error,Error,Error,Error,Error,,,,Error,Error,,https://www.naukri.com/job-listings-Data-Scientist-Applexus-Technologies-P-Ltd-Trivandrum-1-to-5-years-061017006900
10,Error,,,Error,,,30,https://www.naukri.com/job-listings-Looking-for-a-Data-Scientist-Role-Accenture-Solutions-Pvt-Ltd-Gurgaon-12-to-16-years-121017003370,Posted: 7 days ago,Error,42,Error,Error,,,,,"INR 17,00,000 - 30,00,000 P.A.",Error,,https://www.naukri.com/job-listings-Looking-for-a-Data-Scientist-Role-Accenture-Solutions-Pvt-Ltd-Gurgaon-12-to-16-years-121017003370
11,Analytics Firm,Analytics Manager,,2 - 7 yrs,Analytics & Business Intelligence,KPO  /    Research  /    Analytics,901,https://www.naukri.com/job-listings-Opening-for-Data-Scientist-Position-Analytics-Firm-Bengaluru-2-to-7-years-041017006554,Posted 7 days ago,Opening for Data Scientist Position,2000+,"data science,big data,machine learning,Hadoop,Hive,Artificial Intelligence,SQL,Python,Java,R ",Bengaluru,,,Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"3+ years of experience in applying machine learning, statistical pattern recognition, and data mining algorithms to prediction problems.Experience with SQL, Hive/Pig/MapReduce, SparkExperience with at-least one programming language - e.g. Java, Python, R",,https://www.naukri.com/job-listings-Opening-for-Data-Scientist-Position-Analytics-Firm-Bengaluru-2-to-7-years-041017006554
12,FloLearning Solutions Pvt. Ltd.,System Analyst,,10 - 20 yrs,"IT Software - DBA   ,     Datawarehousing",IT-Software  /    Software Services,38,https://www.naukri.com/job-listings-Opportunity-for-Principal-Data-Scientist-with-Nouveau-Labs-FloLearning-Solutions-Pvt-Ltd-Bengaluru-10-to-20-years-131017003465,Posted 6 days ago,Job Opportunity for Principal Data Scientist with Nouveau Labs,268,"Deep Learning,Natural Language Processing,Neural Networks,Machine Learning,Predictive Analytics,NLP,Data Science,R,Advanced Analytics,Artificial Intelligence ",Bengaluru,,,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,,https://www.naukri.com/job-listings-Opportunity-for-Principal-Data-Scientist-with-Nouveau-Labs-FloLearning-Solutions-Pvt-Ltd-Bengaluru-10-to-20-years-131017003465
13,FloLearning Solutions Pvt. Ltd.,Research Scientist,,10 - 20 yrs,"Engineering Design   ,     R&D",IT-Software  /    Software Services,28,https://www.naukri.com/job-listings-Opportunity-for-Principal-Data-Scientist-with-Nouveau-Labs-FloLearning-Solutions-Pvt-Ltd-Bengaluru-10-to-20-years-131017003309,Posted 6 days ago,Job Opportunity for Principal Data Scientist with Nouveau Labs,252,"Deep Learning,Machine Learning,Natural Language Processing,Neural Networks,Predictive Analytics,Computer Vision,NLP,Data Science,R,Artificial Intelligence ",Bengaluru,Openings: 1,,R&D,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,,https://www.naukri.com/job-listings-Opportunity-for-Principal-Data-Scientist-with-Nouveau-Labs-FloLearning-Solutions-Pvt-Ltd-Bengaluru-10-to-20-years-131017003309
14,Error,,,Error,,,95,https://www.naukri.com/job-listings-Urgent-Opening-for-DATA-Scientist-Sutherland-Bangalore-Sutherland-Global-Services-Private-Limited-Bengaluru-4-to-6-years-111017006218,Posted: 7 days ago,Error,99,Error,Error,Openings: 7,,,,Not Disclosed by Recruiter,Error,,https://www.naukri.com/job-listings-Urgent-Opening-for-DATA-Scientist-Sutherland-Bangalore-Sutherland-Global-Services-Private-Limited-Bengaluru-4-to-6-years-111017006218
