,Company_Name,Design_Role,Doctorate,Experience,Functional_Area,Industry,Job_Application,Job_Link,Job_Post,Job_Title,Job_View,Key_Skills,Location,Num_Openings,PG,Role_Category,Salary,SalaryI,Skill_Experience,UG,Actual_Job_Link
0,AIG Analytics & Services Private Limited,Bio/Pharma Informatics-Associate/Scientist,,5 - 8 yrs,"Medical   ,     Healthcare   ,     R&D   ,     Pharmaceuticals   ,     Biotechnology",KPO  /    Research  /    Analytics,30,https://www.naukri.com/job-listings-Data-Scientist-AIG-Analytics-Services-Private-Limited-Bengaluru-5-to-8-years-210817902745,Posted 24 days ago,Data Scientist,546,"Underwriting,Risk management,SAS,SQL,Business Analyst,Predictive modeling,Computer science,Python,Tools,Evaluation ",Bengaluru,,Any Postgraduate - Any Specialization,R&D,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Qualification BA/  BS degree from a quantitative area (Math,  economics,  finance,  computer science,  operation research,  insurance and risk management,  etc),  advanced degree is preferred 5 experience in predictive modeling and/  or model validation/  documentation areas with people management component Thorough,  hands- on understanding of advanced modeling methods such as GAMs,  GBMs,  GLMs,  GLMMs,  GMMs,  decision trees,  regularization techniques,  SVMs,  and random forest etc.  Advanced SQL skills and excellent programming skills in at least one of the quantitative analysis software packages/  languages such as VBA,  R,  SAS and Python  Demonstrated ability to effectively interpret data and modeling results,  distill actionable insights and present them to stakeholders  CAS designation (Exams,  Associates,  Fellow) is a plus,  but not requirement  Knowledge of an additional general purpose programming language such as C or Java.  Excellent communication skills both in written and verbal  Organized,  self- motivated,  results- oriented and resourceful",Any Graduate - Any Specialization,https://www.naukri.com/job-listings-Data-Scientist-AIG-Analytics-Services-Private-Limited-Bengaluru-5-to-8-years-210817902745
1,Persistent Systems Limited.,Data Analyst,"Ph.D - Statistics, Other",8 - 10 yrs,Analytics & Business Intelligence,IT-Software  /    Software Services,41,https://www.naukri.com/job-listings-Sr-Data-Scientist-Persistent-Systems-Limited-Pune-8-to-10-years-070917900465,Posted 42 days ago,Sr. Data Scientist,466,"data scientist,machine learning,natural language processing,Predictive modeling,oStatistical modeling,logistic regression,hypothesis testing,ANOVA,PCA,SVD,Hadoop,Spark,spark ML,H2O,Tensorflow,Keras,MySQL,Postgres,Mongo DB ",Pune,,"MS/M.Sc(Science) - Any Specialization, Statistics",Analytics & BI,Not Disclosed by Recruiter,Not Disclosed by Recruiter,,Any Graduate - Any Specialization,https://www.naukri.com/job-listings-Sr-Data-Scientist-Persistent-Systems-Limited-Pune-8-to-10-years-070917900465
2,Adobe Systems India Pvt. Ltd.,System Administrator,Doctorate Not Required,7 - 10 yrs,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,22,https://www.naukri.com/job-listings-Computer-Scientist-Premium-Institute-Adobe-Systems-India-Pvt-Ltd-Bengaluru-7-to-10-years-270917900333,Posted 21 days ago,Computer Scientist - Premium Institute,303,"Opengl,C++,DirectX,IOS,Data Structures,Java,Algorithms,Android,Objective C,Agile Development,Computer Scientist ",Bengaluru,,M.Tech - Computers,Admin/Maintenance/Security/Datawarehousing,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"What you need to succeed7-10 years of hands on development experienceB.Tech / M.Tech in computer science and engineering from a premier institute.Expert in C++, data structures and algorithms.Expert in one of the following Objective-C, C++/CX, JavaExcellent software design skillsStrong problem solving skills.Able to communicate technical details clearlyAble to adapt quickly to changing prioritiesMotivated self-starter with the ability to learn and adapt to new technologiesExpertise in GPU technologies OpenGL/DirectX will be a strong plusWork closely and seamlessly with various engineering teams, product management, experience design and quality engineering to ensure we deliver great compelling solutionsAt ease with ambiguity and able to adapt and change direction/technologies to leverage new learningsBe a mentor and role model for junior engineers.",B.Tech/B.E. - Computers,https://www.naukri.com/job-listings-Computer-Scientist-Premium-Institute-Adobe-Systems-India-Pvt-Ltd-Bengaluru-7-to-10-years-270917900333
3,L'OREAL INDIA PVT LTD,Associate/Senior Associate -(NonTechnical),Doctorate Not Required,1 - 6 yrs,"ITES   ,     BPO   ,     KPO   ,     LPO   ,     Customer Service   ,     Operations",BPO  /    Call Centre  /    ITES,44,https://www.naukri.com/job-listings-Consumer-Advisor-Executive-L-OREAL-INDIA-PVT-LTD-Mumbai-1-to-6-years-121017000800,Posted 7 days ago,Consumer Advisor Executive,309,"call center,excel powerpoint,Communication skills,Sensitivity to Beauty ",Mumbai,Openings: 1,Post Graduation Not Required,Voice,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,Any Graduate,https://www.naukri.com/job-listings-Consumer-Advisor-Executive-L-OREAL-INDIA-PVT-LTD-Mumbai-1-to-6-years-121017000800
4,Bar Code India Ltd,Sales/Business Development Manager,,3 - 8 yrs,"Sales   ,     Retail   ,     Business Development",IT-Software  /    Software Services,455,https://www.naukri.com/job-listings-Sr-Executive-am-Manager-Sales-automation-Solutions-Bcil-Chennai-Bar-Code-India-Ltd-Chennai-3-to-8-years-100817001701,Posted 7 days ago,"Sr. Executive/am/ Manager- Sales (automation Solutions)- Bcil, Chennai",1277,"B2B corporate sales,Direct B2B Sales,solution selling,Automation solution,WMS,PLC,Scada,HMI,VFD,Vision sensors,Vision system ",Chennai,,,Retail Sales,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,Any Graduate - Any Specialization,https://www.naukri.com/job-listings-Sr-Executive-am-Manager-Sales-automation-Solutions-Bcil-Chennai-Bar-Code-India-Ltd-Chennai-3-to-8-years-100817001701
5,Nuance Communications,Technical Architect,,8 - 13 yrs,IT Software - Telecom Software,Telecom/ISP,143,https://www.naukri.com/job-listings-Technical-Architect-Nuance-Communications-Noida-Sector-132-Noida-8-to-13-years-220917002848,Posted 6 days ago,Technical Architect,1500+,"Core Java,Apache Tomcat,Rest,Postgresql,C,Spring,MySQL,Data Structures,Big Data,Software Development,Technical Architect,Software Architecture,Linux,unix ",Noida(Sector-132 Noida),Openings: 1,,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Must Have Technology Skills : Solid expertise of large complex software systems is required. Must have been deeply associated with such systems delivery in the past and able to explain the nuances of design elements and inner workings Thorough understanding of performance engineering on Linux/Unix systems in application user space is required. Experience of working with Linux kernels is a bonus. Must have used sockets, threads, IPC, advanced data structures, databases in previous projects. Experience of working in Core Java on server side technologies is a bonus. Experience with common open source frameworks such as Apache Tomcat, MySQL/PostgresSQL, Guava, Spring etc. is desired. Knowledge of telecom network architectures and protocols will be considered an asset but not mandatory. Exposure of working in telecom Usage and Revenue Enhancement is a plus. Exposure and understanding of Big Data Technologies and/or Machine learning will be given a preference. Other skills: a) Should have written a lot of code in the past and have a good command over low level design as well as high level architecture. b) Must be able to gather requirements from other stakeholders and explain/document them clearly for the team. c) Should have good communication skills and be able to influence others with clarity of thought and argument. Should be able to communicate with clients/operational managers etc. d) Strong presentation and writing skills e) Strong problem solving skills and ability to analyse complex systems and their interworkings quickly. f) Good knowledge of quality standards, legislation and best practices for large software development teams. g) Ability to adapt quickly and prioritise. Ability to work under pressure and meet deadlines. h) Ability to think ahead and anticipate problems, issues and solutions.","Any Graduate - Any Specialization, B.Tech/B.E. - Any Specialization",https://www.naukri.com/job-listings-Technical-Architect-Nuance-Communications-Noida-Sector-132-Noida-8-to-13-years-220917002848
6,AIG Analytics & Services Private Limited,System Analyst,,2 - 5 yrs,"IT Software - Application Programming   ,     Maintenance",KPO  /    Research  /    Analytics,486,https://www.naukri.com/job-listings-Data-Science-Analyst-AIG-Analytics-Services-Private-Limited-Bengaluru-2-to-5-years-130617900766,Posted 3 days ago,Data Science Analyst,3000+,"Underwriting,Risk management,SAS,SQL,Business Analyst,Predictive modeling,Computer science,Python,model validation,data science ",Bengaluru,,Post Graduation Not Required,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Qualification BA/ BS degree from a quantitative area (Math,  economics,  finance,  computer science,  operation research,  insurance and risk management,  etc),  advanced degree is preferred 2 experience in predictive modeling and/ or model validation/ documentation areas Thorough,  hands-on understanding of advanced modeling methods such as GAMs,  GBMs,  GLMs,  GLMMs,  GMMs,  decision trees,  regularization techniques,  SVMs,  and random forest etc.  Advanced SQL skills and excellent programming skills in at least one of the quantitative analysis software packages/ languages such as VBA,  R,  SAS and Python  Demonstrated ability to effectively interpret data and modeling results,  distill actionable insights and present them to stakeholders  CAS designation (Exams,  Associates,  Fellow) is a plus,  but not requirement  Knowledge of an additional general purpose programming language such as C or Java.  Excellent communication skills both in written and verbal  Organized,  self-motivated,  results-oriented and resourceful",B.Tech/B.E. - Computers,https://www.naukri.com/job-listings-Data-Science-Analyst-AIG-Analytics-Services-Private-Limited-Bengaluru-2-to-5-years-130617900766
7,Allegis Services India Pvt. Ltd.,Business Analyst,,4 - 6 yrs,"IT Software - Application Programming   ,     Maintenance",IT-Software  /    Software Services,1132,https://www.naukri.com/job-listings-Opportunity-with-Teksystems-Hiring-for-Business-Analysts-into-Risk-Allegis-Services-India-Pvt-Ltd-Pune-4-to-6-years-070917007704,Posted 9 days ago,Opportunity with Teksystems! Hiring for Business Analysts(into Risk),1500+,"market risk,var,business analysis,sql,visio,data modeling,financial services,BCBS ",Pune,,Post Graduation Not Required,System Design/Implementation/ERP/CRM,Not Disclosed by Recruiter,Not Disclosed by Recruiter,Please refer to the Job description above,B.Tech/B.E. - Any Specialization,https://www.naukri.com/job-listings-Opportunity-with-Teksystems-Hiring-for-Business-Analysts-into-Risk-Allegis-Services-India-Pvt-Ltd-Pune-4-to-6-years-070917007704
8,AIG Analytics & Services Private Limited,Software Developer,,7 - 10 yrs,"IT Software - Application Programming   ,     Maintenance",KPO  /    Research  /    Analytics,Less than 10,https://www.naukri.com/job-listings-Senior-SAS-Developer-FED-MRA-AIG-Analytics-Services-Private-Limited-Bengaluru-7-to-10-years-120617901828,Posted 3 days ago,Senior SAS Developer (FED MRA),540,"Unix,SAS,Tools,SAS Programming,Grid,Junior Data Analyst,Application software,data science,SQL database,System development ",Bengaluru,,M.Tech - Computers,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Qualification:  Minimum 7 years of hands-on SAS programming experience.  Proven expert in all SAS language, procedures, and options commonly used including the Macro language, Advance SAS, SAS EG.  Experience working with SAS Grid or SAS on unix is plus.   Experience with SQL procedures and SQL database is required.  Experience in building SAS/SQL data Mart is a plus.  Excellent organizational skills, demonstrated success to multi-task and deliver viable solution in a fast-paced environment with changing priorities.  Excellent and transparent communication skills and ability to influence across multiple functions.  Positive and collaborative attitude  Background in data analytics or data science is preferred.",B.Tech/B.E. - Computers,https://www.naukri.com/job-listings-Senior-SAS-Developer-FED-MRA-AIG-Analytics-Services-Private-Limited-Bengaluru-7-to-10-years-120617901828
9,AIG Analytics & Services Private Limited,Software Developer,,7 - 11 yrs,"IT Software - Application Programming   ,     Maintenance",KPO  /    Research  /    Analytics,64,https://www.naukri.com/job-listings-Senior-SAS-Developer-FED-MRA-AIG-Analytics-Services-Private-Limited-Bengaluru-7-to-11-years-130617900767,Posted 3 days ago,Senior SAS Developer (FED MRA),774,"Unix,SAS,Tools,SAS Programming,Grid,Junior Data Analyst,Application software,data science,SQL database,System development ",Bengaluru,,Post Graduation Not Required,Programming & Design,Not Disclosed by Recruiter,Not Disclosed by Recruiter,"Qualification:  Minimum 7 years of hands-on SAS programming experience.  Proven expert in all SAS language,  procedures,  and options commonly used including the Macro language,  Advance SAS,  SAS EG.  Experience working with SAS Grid or SAS on unix is plus.   Experience with SQL procedures and SQL database is required.  Experience in building SAS/ SQL data Mart is a plus.  Excellent organizational skills,  demonstrated success to multi-task and deliver viable solution in a fast-paced environment with changing priorities.  Excellent and transparent communication skills and ability to influence across multiple functions.  Positive and collaborative attitude  Background in data analytics or data science is preferred.",B.Tech/B.E. - Computers,https://www.naukri.com/job-listings-Senior-SAS-Developer-FED-MRA-AIG-Analytics-Services-Private-Limited-Bengaluru-7-to-11-years-130617900767
